matrix_sha256	row_id	disposition	harbor_rule	replacement_owner	destination_paths	source_basis	license_treatment	evidence_refs	result
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-001	rewrite	REWRITE-NO-COPY	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)	packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz#package/dist/stream.d.ts;packages/coding-agent/src/breadboard/session-event-projector.ts	Clean-room ADP-EVT-001 implementation under bb-89n.6; accepted bb-89n.11 through bb-89n.13 canonical E4 contract; approved E4 client commit bc4f5ce85d10194b3c39eead916d753f5b821e6c; vendored @breadboard/sdk 0.2.2 artifact sha256:2e7dbd6dd1f655c431ecd56e833e7b3c3598c8b8bb1f6e62649204368cedffe2; product provenance packages/coding-agent/breadboard-sdk-provenance.json; no donor bytes.	BreadBoard-owned clean-room implementation; canonical @breadboard/sdk artifact is vendored under product provenance; no donor license claim.	packages/coding-agent/src/breadboard/session-event-projector.test.ts;packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz;packages/coding-agent/breadboard-sdk-provenance.json	IMPLEMENTED-CANONICAL-E4-EVENT-REWRITE-ADP-EVT-001
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-002	discard	DISCARD-NO-HARBOR	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)		Static absence for ADP-EVT-002 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-EVT-002; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-003	discard	DISCARD-NO-HARBOR	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)		Static absence for ADP-EVT-003 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-EVT-003; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-004	discard	DISCARD-NO-HARBOR	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)		Static absence for ADP-EVT-004 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-EVT-004; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-001	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)		Static absence for ADP-FAC-001 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-FAC-001; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-002	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)		Static absence for ADP-FAC-002 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-FAC-002; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-003	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)		Static absence for ADP-FAC-003 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-FAC-003; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-004	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)		Static absence for ADP-FAC-004 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-FAC-004; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-005	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)		Static absence for ADP-FAC-005 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-FAC-005; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-006	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)		Static absence for ADP-FAC-006 in clean OMP v16.5.0; prohibited scaffold has no product dependency or replacement and no bytes are imported.	No harbor; no donor or legacy bytes enter the clean OMP v16.5.0 candidate.	STATIC-ABSENCE-CHECK:ADP-FAC-006; no product destination, dependency, or replacement path exists in clean OMP v16.5.0	ABSENT-NO-DEPENDENCY
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-HTTP-001	rewrite	REWRITE-NO-COPY	P30 E4 client error/redaction boundary (bb-89n.13)	packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz#package/dist/client.d.ts;packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz#package/dist/session-runtime.d.ts;packages/coding-agent/src/breadboard/canonical-e4-session-port.ts;packages/coding-agent/src/breadboard/session-port.ts	Clean-room ADP-HTTP-001 implementation under bb-89n.6; accepted bb-89n.11 through bb-89n.13 canonical E4 contract; approved E4 client commit bc4f5ce85d10194b3c39eead916d753f5b821e6c; vendored @breadboard/sdk 0.2.2 artifact sha256:2e7dbd6dd1f655c431ecd56e833e7b3c3598c8b8bb1f6e62649204368cedffe2; product provenance packages/coding-agent/breadboard-sdk-provenance.json; no donor bytes.	BreadBoard-owned clean-room implementation; canonical @breadboard/sdk artifact is vendored under product provenance; no donor license claim.	packages/coding-agent/src/breadboard/canonical-e4-session-port.test.ts;packages/coding-agent/src/breadboard/session-event-projector.test.ts;packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz;packages/coding-agent/breadboard-sdk-provenance.json	IMPLEMENTED-CANONICAL-E4-RUNTIME-ADP-HTTP-001
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-HTTP-002	rewrite	REWRITE-NO-COPY	P30 canonical E4 client runtime (bb-89n.13)	packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz#package/dist/client.d.ts;packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz#package/dist/session-runtime.d.ts;packages/coding-agent/src/breadboard/canonical-e4-session-port.ts;packages/coding-agent/src/breadboard/session-port.ts	Clean-room ADP-HTTP-002 implementation under bb-89n.6; accepted bb-89n.11 through bb-89n.13 canonical E4 contract; approved E4 client commit bc4f5ce85d10194b3c39eead916d753f5b821e6c; vendored @breadboard/sdk 0.2.2 artifact sha256:2e7dbd6dd1f655c431ecd56e833e7b3c3598c8b8bb1f6e62649204368cedffe2; product provenance packages/coding-agent/breadboard-sdk-provenance.json; no donor bytes.	BreadBoard-owned clean-room implementation; canonical @breadboard/sdk artifact is vendored under product provenance; no donor license claim.	packages/coding-agent/src/breadboard/canonical-e4-session-port.test.ts;packages/coding-agent/src/breadboard/session-event-projector.test.ts;packages/coding-agent/vendor/breadboard-sdk-0.2.2.tgz;packages/coding-agent/breadboard-sdk-provenance.json	IMPLEMENTED-CANONICAL-E4-RUNTIME-ADP-HTTP-002
